,oos,trf_avg,atc,latency,perfect_order,retention,GMV_cur
0,0,3222,48,4.98,0,1,2090.9
1,1,4675,45,4.5,0,1,2617.32
2,0,1897,93,1.53,1,1,1930.97
3,0,2231,58,2.75,1,0,1895.41
4,0,915,36,1.65,0,0,772.1
5,1,2794,2,3.9,1,0,1461.99
6,0,542,18,4.66,0,1,315.59
7,0,3240,49,1.86,0,0,2071.65
8,0,242,8,4.05,1,0,292.96
9,1,4387,58,2.54,1,0,2924.38
10,0,1510,15,2.04,1,1,1138.19
11,0,4573,17,4.7,0,0,2325.46
12,0,634,23,2.6,1,1,894.97
13,0,1816,66,2.39,1,1,1663.17
14,1,3464,70,3.39,1,0,2516.0
15,0,1132,93,1.38,0,0,1306.17
16,1,3442,27,1.69,0,0,1896.75
17,1,1510,37,4.67,0,0,961.24
18,1,4600,49,3.42,0,1,2666.64
19,0,1272,64,4.15,0,1,1290.7
20,1,988,34,1.43,1,1,1123.34
21,0,3438,18,2.76,1,1,2154.6
22,1,4617,64,4.86,0,0,2791.03
23,1,1741,74,1.66,1,1,1746.98
24,1,571,44,0.89,0,1,810.01
25,1,3040,17,2.6,0,0,1487.89
26,1,646,59,2.0,0,1,901.49
27,1,4826,13,0.88,0,0,2386.6
28,1,3697,52,4.45,0,0,2343.81
29,1,2925,60,4.95,0,0,1900.11
30,0,3823,42,2.89,1,1,2385.74
31,0,463,91,3.9,1,0,1197.73
32,1,2266,64,4.31,1,0,1786.9
33,1,3409,66,3.53,1,0,2539.19
34,1,645,34,0.32,1,1,940.04
35,0,3340,95,0.87,1,1,2762.41
36,1,4829,87,0.45,0,0,3138.25
37,0,2036,71,0.15,0,1,1927.98
38,0,1062,64,1.6,0,1,1220.9
39,0,3105,33,2.02,0,1,1764.57
40,0,3906,12,1.28,1,1,2283.35
41,0,982,76,0.42,0,1,1201.37
42,1,3940,19,2.7,1,0,2127.48
43,1,970,9,1.44,1,1,665.2
44,1,4711,74,4.0,1,1,3028.43
45,1,3085,17,0.14,1,1,1811.65
46,1,965,50,4.23,1,1,1009.22
47,0,4409,39,4.78,1,0,2644.93
48,1,3303,41,3.61,0,0,2030.4
49,1,2997,10,3.69,0,1,1515.13
50,0,2344,12,4.67,0,0,1134.68
51,1,118,79,1.12,0,1,808.87
52,0,741,95,4.97,0,1,1351.7
53,1,3183,15,3.89,0,0,1530.71
54,0,429,28,3.66,0,0,289.89
55,1,965,4,1.87,1,1,526.65
56,1,873,36,2.77,1,1,928.75
57,0,4587,65,3.3,0,0,3026.48
58,0,4832,98,3.14,0,1,3417.98
59,0,2454,47,3.55,1,1,1954.49
60,0,3438,81,0.5,0,0,2299.07
61,0,3618,39,1.84,1,0,2278.87
62,0,3042,38,2.23,0,0,1744.62
